name	pyScopeLinkHash	bindingKind	bindingOrigin	isParameter	isLocal	isGlobal	isNonlocal	isFree	isImported	isAssigned	isReferenced	isDeclaredGlobal	isAnnotated	isNamespace	bindingCount	firstBindingLine	lastBindingLine	declaredTypeName	declaredBaseType	potentialQualifiedName	isAmbiguous	targetEntityKind	targetEntityHash	pyModuleLinkHash	pyMethodLinkHash	filePath	serviceVersionLinkHash	pyBindingUniqueHash
Leaf	PY_SCOPE_3c613edd29e908501e094287155dad00	MODULE_LEVEL	CLASS_DEF	false	true	true	false	false	false	true	false	false	false	true	1	20	20				false	TYPE	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_22330a12005374ea1b1705c24d3d9eab	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_7ab8060d1883f1dacaf681c9bb2b7b71
Node	PY_SCOPE_3c613edd29e908501e094287155dad00	MODULE_LEVEL	CLASS_DEF	false	true	true	false	false	false	true	true	false	false	true	1	4	4				false	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_22330a12005374ea1b1705c24d3d9eab	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_22c7cd06c8b01b79f46619638ac74819
Registry	PY_SCOPE_3c613edd29e908501e094287155dad00	MODULE_LEVEL	CLASS_DEF	false	true	true	false	false	false	true	false	false	false	true	1	26	26				false	TYPE	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_22330a12005374ea1b1705c24d3d9eab	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_c87874d8c53fa686cda11eef6d872482
make_node	PY_SCOPE_3c613edd29e908501e094287155dad00	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	38	38				false	METHOD	PY_METHOD_7d2d6b1fcbe9f06e17ea6be3ea44f4cd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_22330a12005374ea1b1705c24d3d9eab	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_62da648ed8da40996056bdaba9c097d6
make_registry	PY_SCOPE_3c613edd29e908501e094287155dad00	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	43	43				false	METHOD	PY_METHOD_de5e770015d0865e8824f96caa557604	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_22330a12005374ea1b1705c24d3d9eab	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_19103936b4256ede30d78cec6374599c
__init__	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	CLASS_ATTRIBUTE	FUNCTION_DEF	false	true	false	false	false	false	true	false	false	false	true	1	5	5				false	METHOD	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_a2cca72dd25bb95b1ca851eefd404a16
add	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	CLASS_ATTRIBUTE	FUNCTION_DEF	false	true	false	false	false	false	true	false	false	false	true	1	12	12				false	METHOD	PY_METHOD_884b206c00df93e05093f97d602c9a91	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_f09f537bc75b4096be3b0c1467d344d4
count	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	CLASS_ATTRIBUTE	FUNCTION_DEF	false	true	false	false	false	false	true	false	false	false	true	1	16	16				false	METHOD	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_e5b372f106b2dd4f0c0fae9b478757de
label	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	CLASS_ATTRIBUTE	FUNCTION_DEF	false	true	false	false	false	false	true	false	false	false	true	1	9	9				false	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_4dcfbf9a3cb026e560705d4319ae5a76
name	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PARAMETER	PARAMETER	true	true	false	false	false	false	false	true	false	false	false	1	5	5				false	PARAMETER	PY_METHOD_PARAMETER_0c0a91ac7ee723fe65a89f0f8b6b4bf9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	core/base.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_5c7315804b4d95439c3886a09e1265e7
