kind	order	filePath	startLine	endLine	startColumn	endColumn	nestingDepth	pyTypeLinkHash	methodOwnerHash	parentContainerHash	tryStatementHash	resourceCount	caughtExceptionTypes	ownerTypeName	ownerQualifiedName	ownerMethodName	pyScopeLinkHash	pyModuleLinkHash	conditionExpressionLinkHash	conditionText	exceptTargetName	hasElseClause	isModuleLevel	isTypeCheckingGuard	serviceVersionLinkHash	pyBlockUniqueHash
MODULE_BODY	0	core/__init__.py	1	2	0	0	0		PY_METHOD_1ec9dd6cff96c8d149e5e988044c5acd	PY_MODULE_933b805b0d496400952bb195a87ddcc4					core	<module>	PY_SCOPE_295594e03a9a1a16619070d1ea44e657	PY_MODULE_933b805b0d496400952bb195a87ddcc4				false	true	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_ef744f45bb9696b792aaf47d02882ec6
MODULE_BODY	0	core/base.py	1	45	0	0	0		PY_METHOD_22330a12005374ea1b1705c24d3d9eab	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df					core.base	<module>	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	true	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_fe2d79b10876162eef445d10a879852b
CLASS_BODY	1	core/base.py	5	17	4	33	1	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d	PY_BLOCK_fe2d79b10876162eef445d10a879852b				Node	core.base.Node	<classbody>	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_ac4c6a56438d826ad555eed7f9f016f8
FUNCTION_BODY	2	core/base.py	6	7	8	26	2	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	PY_BLOCK_ac4c6a56438d826ad555eed7f9f016f8				Node	core.base.Node	__init__	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_c167ecb6b91e330720aebf0586fb88db
FUNCTION_BODY	3	core/base.py	10	10	8	24	2	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	PY_BLOCK_ac4c6a56438d826ad555eed7f9f016f8				Node	core.base.Node	label	PY_SCOPE_be4552bc039e00d676c093564b9e05dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_f3548c2b58bfe03a15e5574b9381fa4b
FUNCTION_BODY	4	core/base.py	13	14	8	19	2	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_884b206c00df93e05093f97d602c9a91	PY_BLOCK_ac4c6a56438d826ad555eed7f9f016f8				Node	core.base.Node	add	PY_SCOPE_b321497c2a5f55c35c4bbf6d5321a12e	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_68a44e62955be84587e36f67e6a5b33c
FUNCTION_BODY	5	core/base.py	17	17	8	33	2	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5	PY_BLOCK_ac4c6a56438d826ad555eed7f9f016f8				Node	core.base.Node	count	PY_SCOPE_1dcd4a86edeee12836f333d25b882507	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_65edd9d615d96043cf705d2194d9059f
CLASS_BODY	6	core/base.py	21	23	4	30	1	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	PY_METHOD_78c79dc4d8ae19b87bc29a8f14f92bd7	PY_BLOCK_fe2d79b10876162eef445d10a879852b				Leaf	core.base.Leaf	<classbody>	PY_SCOPE_afe12fc9c7652fc5bc087d6581867ad6	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_e2de1054500d522767726fa7508c5c4d
FUNCTION_BODY	7	core/base.py	23	23	8	30	2	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1	PY_BLOCK_e2de1054500d522767726fa7508c5c4d				Leaf	core.base.Leaf	label	PY_SCOPE_e8aef099a3e04f4d2accb59b99b37a86	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_45156337756915d922a24bd198c00073
CLASS_BODY	8	core/base.py	27	35	4	28	1	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_METHOD_0e615a9d7cefd3dd877ab22523d475c4	PY_BLOCK_fe2d79b10876162eef445d10a879852b				Registry	core.base.Registry	<classbody>	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_91f2e4c5b47bc50656c16ed565f761d0
FUNCTION_BODY	9	core/base.py	28	28	8	23	2	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_METHOD_29d34dde40fdbda38d1b7a232f746c70	PY_BLOCK_91f2e4c5b47bc50656c16ed565f761d0				Registry	core.base.Registry	__init__	PY_SCOPE_7e913642935d739f9d5960a079855c85	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_6ff4481b6134bb596436407477edc69b
FUNCTION_BODY	10	core/base.py	31	32	8	19	2	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_METHOD_fb122cdd681d1886b28ba6a5367477ce	PY_BLOCK_91f2e4c5b47bc50656c16ed565f761d0				Registry	core.base.Registry	store	PY_SCOPE_bdc4ac8c7b82a4f46bb55f07816f51ed	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_f68e137dfc4ae320a2aa6f6add29fcfd
FUNCTION_BODY	11	core/base.py	35	35	8	28	2	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_METHOD_7c5ffd94d87c21c27acde611d6418fe4	PY_BLOCK_91f2e4c5b47bc50656c16ed565f761d0				Registry	core.base.Registry	first	PY_SCOPE_4d05adea79b3e9d4c2a24fac1cd24639	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_528e2c1739a3b951e41838c0d11ccb31
