callKind	calleeName	calleeDottedPath	receiverText	receiverKind	pyExpressionLinkHash	receiverExpressionLinkHash	pyScopeLinkHash	pyMethodLinkHash	pyTypeLinkHash	pyModuleLinkHash	positionalArgCount	keywordArgCount	hasStarArgs	hasDoubleStarArgs	keywordNames	argFlowIsPrecise	resolvedCalleeKind	resolvedCalleeHash	isModuleLevelCall	isConditional	startLine	startColumn	endLine	serviceVersionLinkHash	pyCallSiteUniqueHash
METHOD_CALL	append	self.children.append	self.children	ATTRIBUTE	PY_EXPRESSION_df023f2623ebb1929df8b9852c49a25c	PY_EXPRESSION_e497a47dd46845126b96446680d1339c	PY_SCOPE_b321497c2a5f55c35c4bbf6d5321a12e	PY_METHOD_884b206c00df93e05093f97d602c9a91	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	1	0	false	false		true	BUILTIN		false	false	13	8	13	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_97c7a753676d2695e1f2e446b8af3835
SIMPLE_CALL	len	len		NONE	PY_EXPRESSION_38c8f99c78f7170fa3ae6201b002d428		PY_SCOPE_1dcd4a86edeee12836f333d25b882507	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	1	0	false	false		true	BUILTIN		false	false	17	15	17	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_2c8ef03c623b65767681d8b485340ff8
SUPER_CALL	label	label	super()	SUPER	PY_EXPRESSION_776944b894a65a5ca248dc7ae479fcf9	PY_EXPRESSION_2494acda6a3344da6cc9eadb2383f4b0	PY_SCOPE_e8aef099a3e04f4d2accb59b99b37a86	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	23	15	23	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_cb3a8b17cb75c42c9f6e5f3f9f32ea1d
SIMPLE_CALL	super	super		NONE	PY_EXPRESSION_2494acda6a3344da6cc9eadb2383f4b0		PY_SCOPE_e8aef099a3e04f4d2accb59b99b37a86	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	0	0	false	false		true	BUILTIN		false	false	23	15	23	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_4b14058fe1b958f1c944d738345dea1d
METHOD_CALL	append	self.nodes.append	self.nodes	ATTRIBUTE	PY_EXPRESSION_1d8c2f2f46b176d7bfaa2ec14800ab83	PY_EXPRESSION_0afdf3ea40328564e1000d767de8f065	PY_SCOPE_bdc4ac8c7b82a4f46bb55f07816f51ed	PY_METHOD_fb122cdd681d1886b28ba6a5367477ce	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	1	0	false	false		true	BUILTIN		false	false	31	8	31	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_5dc0f30b16d39306a011b1c489b59623
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_101982c6564171513f6044b59c0d0b68		PY_SCOPE_dbb631c5ec7046decc74f319dd5878c6	PY_METHOD_7d2d6b1fcbe9f06e17ea6be3ea44f4cd		PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	40	11	40	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_2b0e73533dc263c0f05a3531679bf4cd
SIMPLE_CALL	Registry	Registry		NONE	PY_EXPRESSION_c7826ced18328d4cee45bbb1ad98d879		PY_SCOPE_976056fc81d098e7510456c8707358f0	PY_METHOD_de5e770015d0865e8824f96caa557604		PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	0	0	false	false		true	TYPE	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	false	false	44	11	44	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_5e64ece25f4c62ae99d708e4b3f57627
SIMPLE_CALL	cls	cls		NONE	PY_EXPRESSION_b987152ea4218d3cd8af8567749c1cc8		PY_SCOPE_e95f427b0f6858c36213854312ff6528	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	1	0	false	false		true	TYPE	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	false	false	11	15	11	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_207cb1fa9fb2512f25142d33dc9e0ea7
CLS_CALL	of	cls.of	cls	CLS	PY_EXPRESSION_c5c7268720cb06d5e1ba84c438748e63	PY_EXPRESSION_8027b9586e3778808ac92669cb2d003f	PY_SCOPE_02db559850d7bfcf6bda8c2a9d135e95	PY_METHOD_735371219289ab8d6688fce54c3902f5	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	1	0	false	false		true	METHOD	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	false	false	15	15	15	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_c8e4d4c580e628e140d91916970af8cf
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_a94df45238155357a89a835444039a45		PY_SCOPE_970188142bdbee7518a61e5cddc287e2	PY_METHOD_ddf199e958543cb835d700a3097fe194	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	19	20	19	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_cbf60d8461ccac0a3d65fe66661caac0
METHOD_CALL	label	self.node.label	self.node	ATTRIBUTE	PY_EXPRESSION_203b0c1c86e00e6eb8b334e68e06da63	PY_EXPRESSION_3d50c31faf83439ce26c5965f87eeba4	PY_SCOPE_d4a546f62e9bdfe27fe752c3a360636a	PY_METHOD_4e91b430ca727895aa1cd3776fc03e54	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	23	15	23	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_4f1b98af10d0792e9cff64f845c73194
CHAINED_CALL	count	count	"self.node.add(Node(""x""))"	CALL_RESULT	PY_EXPRESSION_e7e4b20991177e2a97640111704ff79f	PY_EXPRESSION_65e95384c9143e9c5e9d90a621f7386e	PY_SCOPE_344696e07e745ee4ea6927e6867287f5	PY_METHOD_5a09ae9b62212b370ffe2ccd419cd026	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	0	0	false	false		true	UNRESOLVED		false	false	29	15	29	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_02c47662e4f551e4e3af548d5bdcdb9e
METHOD_CALL	add	self.node.add	self.node	ATTRIBUTE	PY_EXPRESSION_65e95384c9143e9c5e9d90a621f7386e	PY_EXPRESSION_c7b57ed6400aff3bf01561582a416de4	PY_SCOPE_344696e07e745ee4ea6927e6867287f5	PY_METHOD_5a09ae9b62212b370ffe2ccd419cd026	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	1	0	false	false		true	METHOD	PY_METHOD_884b206c00df93e05093f97d602c9a91	false	false	29	15	29	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_2c538122c7c250fda3eaaae7ddb4bcfc
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_85d057fd8b75a8e38a9499fc7d326328		PY_SCOPE_344696e07e745ee4ea6927e6867287f5	PY_METHOD_5a09ae9b62212b370ffe2ccd419cd026	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	29	29	29	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_0a9646a04208b464c03524f89753e4d7
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_524bfc20c9298720192b8654b66f0746		PY_SCOPE_129c3ab2026fb54aa84df8615a07722c	PY_METHOD_a2047fc142658e71bc0922b866956fee		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	11	11	11	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_149f568525834740e8ef74ca405db535
