name	signature	detailedSignature	qualifiedName	filePath	startLine	endLine	pyTypeLinkHash	ownerTypeName	ownerQualifiedName	methodAccess	methodModifier	returnTypeName	isVarArgs	hasReceiverParameter	defaultValueExpression	methodKind	parameterCount	hasTypeParameters	throwsExceptions	enclosingMemberLinkHash	pyModuleLinkHash	scopeLinkHash	declaringBindingLinkHash	posOnlyCount	kwOnlyCount	hasKwArgs	isArgsKwargsPassthrough	isAsync	isGenerator	decoratorCount	bodyIsStub	startColumn	endColumn	serviceVersionLinkHash	pyMethodUniqueHash
<module>	<module>()		core.<module>	core/__init__.py	1	2				PUBLIC_ACCESS	SYNTHETIC		false	false		MODULE_INITIALIZER	0	false			PY_MODULE_933b805b0d496400952bb195a87ddcc4	PY_SCOPE_295594e03a9a1a16619070d1ea44e657		0	0	false	false	false	false	0	false	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_1ec9dd6cff96c8d149e5e988044c5acd
<module>	<module>()		core.base.<module>	core/base.py	1	45				PUBLIC_ACCESS	SYNTHETIC		false	false		MODULE_INITIALIZER	0	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_3c613edd29e908501e094287155dad00		0	0	false	false	false	false	0	false	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_22330a12005374ea1b1705c24d3d9eab
<classbody>	<classbody>()		core.base.Node.<classbody>	core/base.py	4	17	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS	SYNTHETIC		false	false		CLASS_INITIALIZER	0	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1		0	0	false	false	false	false	0	false	0	33	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_881521ebf6b0e5f6e1118eadd845367d
__init__	__init__(self, name)	__init__(self, name)	core.base.Node.__init__	core/base.py	5	7	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	DUNDER_ACCESS			false	true		CONSTRUCTOR	2	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_BINDING_a2cca72dd25bb95b1ca851eefd404a16	0	0	false	false	false	false	0	false	4	26	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95
label	label(self)	label(self)	core.base.Node.label	core/base.py	9	10	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS			false	true		INSTANCE_METHOD	1	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_be4552bc039e00d676c093564b9e05dd	PY_BINDING_4dcfbf9a3cb026e560705d4319ae5a76	0	0	false	false	false	false	0	false	4	24	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_ce30c205d081a607b8a765e37d66ba71
add	add(self, child)	add(self, child)	core.base.Node.add	core/base.py	12	14	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS			false	true		INSTANCE_METHOD	2	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_b321497c2a5f55c35c4bbf6d5321a12e	PY_BINDING_f09f537bc75b4096be3b0c1467d344d4	0	0	false	false	false	false	0	false	4	19	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_884b206c00df93e05093f97d602c9a91
count	count(self)	count(self)	core.base.Node.count	core/base.py	16	17	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS			false	true		INSTANCE_METHOD	1	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_1dcd4a86edeee12836f333d25b882507	PY_BINDING_e5b372f106b2dd4f0c0fae9b478757de	0	0	false	false	false	false	0	false	4	33	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5
<classbody>	<classbody>()		core.base.Leaf.<classbody>	core/base.py	20	23	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	Leaf	core.base.Leaf	PUBLIC_ACCESS	SYNTHETIC		false	false		CLASS_INITIALIZER	0	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_afe12fc9c7652fc5bc087d6581867ad6		0	0	false	false	false	false	0	false	0	30	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_78c79dc4d8ae19b87bc29a8f14f92bd7
label	label(self)	label(self)	core.base.Leaf.label	core/base.py	21	23	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	Leaf	core.base.Leaf	PUBLIC_ACCESS			false	true		INSTANCE_METHOD	1	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_e8aef099a3e04f4d2accb59b99b37a86	PY_BINDING_ae829e735349744f88b800f27f4659fd	0	0	false	false	false	false	0	false	4	30	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1
<classbody>	<classbody>()		core.base.Registry.<classbody>	core/base.py	26	35	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	Registry	core.base.Registry	PUBLIC_ACCESS	SYNTHETIC		false	false		CLASS_INITIALIZER	0	false			PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd		0	0	false	false	false	false	0	false	0	28	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_0e615a9d7cefd3dd877ab22523d475c4
