scopeKind	name	qualifiedName	nestingDepth	parentScopeLinkHash	pyModuleLinkHash	ownerKind	ownerHash	isNested	isOptimized	hasChildren	symtableId	usesWildcardImport	isGenerator	isCoroutine	declaresGlobal	declaresNonlocal	filePath	startLine	startColumn	endLine	endColumn	scopeOrdinal	serviceVersionLinkHash	pyScopeUniqueHash
MODULE	top	core	0		PY_MODULE_933b805b0d496400952bb195a87ddcc4	MODULE	PY_MODULE_933b805b0d496400952bb195a87ddcc4	false	false	false	0	false	false	false	false	false	core/__init__.py	0	0	2	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_295594e03a9a1a16619070d1ea44e657
MODULE	top	core.base	0		PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	MODULE	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	false	false	true	0	false	false	false	false	false	core/base.py	0	0	45	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_3c613edd29e908501e094287155dad00
CLASS	Node	core.base.Node	1	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	true	1	false	false	false	false	false	core/base.py	4	0	17	33	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1
FUNCTION	__init__	core.base.Node.__init__	2	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	false	true	false	2	false	false	false	false	false	core/base.py	5	4	7	26	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9
FUNCTION	label	core.base.Node.label	2	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	true	false	3	false	false	false	false	false	core/base.py	9	4	10	24	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_be4552bc039e00d676c093564b9e05dd
FUNCTION	add	core.base.Node.add	2	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_884b206c00df93e05093f97d602c9a91	false	true	false	4	false	false	false	false	false	core/base.py	12	4	14	19	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_b321497c2a5f55c35c4bbf6d5321a12e
FUNCTION	count	core.base.Node.count	2	PY_SCOPE_b80d4d2eee187fba971c40495fe6afc1	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5	false	true	false	5	false	false	false	false	false	core/base.py	16	4	17	33	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_1dcd4a86edeee12836f333d25b882507
CLASS	Leaf	core.base.Leaf	1	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	TYPE	PY_TYPE_f4b23e19ff1f7ecbd26ba8e655d8cd87	false	false	true	6	false	false	false	false	false	core/base.py	20	0	23	30	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_afe12fc9c7652fc5bc087d6581867ad6
FUNCTION	label	core.base.Leaf.label	2	PY_SCOPE_afe12fc9c7652fc5bc087d6581867ad6	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1	false	true	false	7	false	false	false	false	false	core/base.py	21	4	23	30	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_e8aef099a3e04f4d2accb59b99b37a86
CLASS	Registry	core.base.Registry	1	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	TYPE	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	false	false	true	8	false	false	false	false	false	core/base.py	26	0	35	28	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd
