importKind	importedPath	packageOrTypeName	simpleName	filePath	lineNumber	isStatic	isWildcard	isModuleImport	relativeLevel	originalName	aliasName	resolvedModuleLinkHash	resolvedTargetKind	resolvedTargetHash	isExternalTarget	distributionName	isTypeCheckingOnly	isConditional	pyScopeLinkHash	pyModuleLinkHash	bindingLinkHash	serviceVersionLinkHash	pyImportUniqueHash
FROM_MEMBER	pkg.models.Account	pkg.models	Account	args_kwargs_passthrough.py	11	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_BINDING_462fe4927d7adb066eeb1115133db534	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_981760ab9c765dafdbc33e098ef9867e
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	args_kwargs_passthrough.py	11	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_BINDING_7c146fe64a14605b9bfd3aa342237932	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_745db92b035606e86c7337b8e6b212c6
FROM_MEMBER	pkg.models.Account	pkg.models	Account	argument_to_parameter_flow.py	11	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_BINDING_156052c7deb1532a154858065e45e935	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_cef1b57d0ef6228cc61929c0f4396e5e
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	argument_to_parameter_flow.py	11	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_BINDING_64feacfe97b8ffb580f1e338d9dd641d	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_ec3c5917dda9ced9571e1608d26df4c2
FROM_MEMBER	pkg.models.Account	pkg.models	Account	blocks_and_conditional_flow.py	9	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	PY_BINDING_b5a1067c86131509a84be3d4ab135550	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_487a294e5802ab580ec331b48db9bd1d
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	blocks_and_conditional_flow.py	9	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	PY_BINDING_c26057214158cbd3ea8b8c34f011b0d6	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_89d5bcab60e236866f4ae6b6860fd961
MODULE_IMPORT_ALIAS	cjson		_fast_json	blocks_and_conditional_flow.py	26	false	false	true	0	cjson	_fast_json		UNRESOLVED		true		false	true	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	PY_BINDING_9db46cd34baa72f30db3dc99cc305256	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_c144198c8586a4c988199d9dee182475
MODULE_IMPORT_ALIAS	json		_fast_json	blocks_and_conditional_flow.py	28	false	false	true	0	json	_fast_json		UNRESOLVED		true		false	true	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	PY_BINDING_9db46cd34baa72f30db3dc99cc305256	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_4a6f7c9fcb6aed73884ca238195ff9e5
FROM_MEMBER	pkg.models.Account	pkg.models	Account	call_site_shapes.py	8	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_b3aca4bef919752b89f94426f2986bad	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	PY_BINDING_7a1a7b70087331d74ebe1ba057d5ce24	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_fa975e4884ea786dc336c136e1654862
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	call_site_shapes.py	8	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_b3aca4bef919752b89f94426f2986bad	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	PY_BINDING_a7656a039030ea331a20dbbce83557e1	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_5f8cd70b522597700ddeb821b30798ca
