scopeKind	name	qualifiedName	nestingDepth	parentScopeLinkHash	pyModuleLinkHash	ownerKind	ownerHash	isNested	isOptimized	hasChildren	symtableId	usesWildcardImport	isGenerator	isCoroutine	declaresGlobal	declaresNonlocal	filePath	startLine	startColumn	endLine	endColumn	scopeOrdinal	serviceVersionLinkHash	pyScopeUniqueHash
MODULE	top	args_kwargs_passthrough	0		PY_MODULE_eaac5d3d87793210a2655db9a761dce0	MODULE	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	false	false	true	0	false	false	false	false	false	args_kwargs_passthrough.py	0	0	54	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d
FUNCTION	concrete_target	args_kwargs_passthrough.concrete_target	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c	false	true	false	1	false	false	false	false	false	args_kwargs_passthrough.py	14	0	16	15	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_02c2985b07ab08118fb930bf98e71011
FUNCTION	star_only_passthrough	args_kwargs_passthrough.star_only_passthrough	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_12613e51da2b1c6140bd0d2d97a83705	false	true	false	2	false	false	false	false	false	args_kwargs_passthrough.py	19	0	22	33	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_8c413c55391c42fd7072a54b1a207ac6
FUNCTION	kwargs_only_passthrough	args_kwargs_passthrough.kwargs_only_passthrough	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_cea36a77e9c18f57b6d17929bc1bc873	false	true	false	3	false	false	false	false	false	args_kwargs_passthrough.py	25	0	26	36	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_c57d79792f3f64aef620c792a2081c79
FUNCTION	full_passthrough	args_kwargs_passthrough.full_passthrough	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_b3c80121fe8c4631c0606909c9ae24f2	false	true	false	4	false	false	false	false	false	args_kwargs_passthrough.py	29	0	31	43	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_e078751b18a4ea82e25e0c3ff5bbd956
FUNCTION	partial_splat	args_kwargs_passthrough.partial_splat	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_5f51b71454110ce2111c8c1a81fe45dd	false	true	false	5	false	false	false	false	false	args_kwargs_passthrough.py	34	0	36	42	4	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_b890af9d763c39ffb1fe4c3c4b0663a3
FUNCTION	splat_a_literal_tuple	args_kwargs_passthrough.splat_a_literal_tuple	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_72710bdb71caade98c6dd701237ccecb	false	true	false	6	false	false	false	false	false	args_kwargs_passthrough.py	39	0	41	46	5	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_ef4a0e06203a25e248c1ca092278922d
FUNCTION	splat_a_genexp	args_kwargs_passthrough.splat_a_genexp	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_4292c7c567ee3086f3a46288e25e1379	false	true	true	7	false	false	false	false	false	args_kwargs_passthrough.py	44	0	45	48	6	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_dff3b66c7c4eb0398c3e9b7ed98ffd43
GENERATOR_EXPRESSION	genexpr	args_kwargs_passthrough.splat_a_genexp.<locals>.genexpr	2	PY_SCOPE_dff3b66c7c4eb0398c3e9b7ed98ffd43	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	COMPREHENSION	PY_METHOD_4292c7c567ee3086f3a46288e25e1379	true	true	false	8	false	false	false	false	false	args_kwargs_passthrough.py	45	16	45	47	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_904d54b879e471850873963b63e698f5
FUNCTION	call_through_passthrough	args_kwargs_passthrough.call_through_passthrough	1	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	METHOD	PY_METHOD_8a98e879e2c694eb9197bff6e20af1b0	false	true	false	9	false	false	false	false	false	args_kwargs_passthrough.py	48	0	53	51	7	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_40b5ef0ae36bba20e33919e0417d7306
MODULE	top	argument_to_parameter_flow	0		PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	MODULE	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	false	false	true	0	false	false	false	false	false	argument_to_parameter_flow.py	0	0	86	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_850472b769a962131b1227af3589d5b9
FUNCTION	positional_callee	argument_to_parameter_flow.positional_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_ca6935fcd43cbae787fac2db38395296	false	true	false	1	false	false	false	false	false	argument_to_parameter_flow.py	16	0	18	28	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_8729c1fca6554e2e493652c72575d345
FUNCTION	two_positional_callee	argument_to_parameter_flow.two_positional_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_cb61ece167391d5e74b4da58d3005662	false	true	false	2	false	false	false	false	false	argument_to_parameter_flow.py	21	0	22	45	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_99b54f980d4037f803d268585046bede
FUNCTION	keyword_callee	argument_to_parameter_flow.keyword_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_178f8ff53cb58e7c628d01c887a6eaf7	false	true	false	3	false	false	false	false	false	argument_to_parameter_flow.py	25	0	29	25	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_3fd4edc853f7d7311c46d3e002b28435
FUNCTION	defaulted_callee	argument_to_parameter_flow.defaulted_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_8d89db55b3284af038c85942f3e43c94	false	true	false	4	false	false	false	false	false	argument_to_parameter_flow.py	32	0	33	37	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_bd278df1ff2e2b59f68598dd57c8acc5
FUNCTION	mixed_callee	argument_to_parameter_flow.mixed_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_b4d83dae449aacdb8b41d27cdda8ccc1	false	true	false	5	false	false	false	false	false	argument_to_parameter_flow.py	36	0	38	15	4	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_9d57cb89c3e433b9416edaee3d3cb8d8
FUNCTION	call_positional	argument_to_parameter_flow.call_positional	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_42739288421947271384edbcb3fa974d	false	true	false	6	false	false	false	false	false	argument_to_parameter_flow.py	43	0	45	34	5	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_07ca87bfb810f2882cb2e17ecee65015
FUNCTION	call_positional_twice	argument_to_parameter_flow.call_positional_twice	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_71702c732583c18df5dc408715b0f7ed	false	true	false	7	false	false	false	false	false	argument_to_parameter_flow.py	48	0	49	68	6	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_eafae0c6435977b0ddab86bdaf3b8f5c
FUNCTION	call_by_keyword	argument_to_parameter_flow.call_by_keyword	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_20c57f04952574f9d9a67a3e569643c5	false	true	false	8	false	false	false	false	false	argument_to_parameter_flow.py	52	0	54	66	7	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_63dc1b776a2870c2f2f59102881c63b8
FUNCTION	call_with_default_overridden	argument_to_parameter_flow.call_with_default_overridden	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_8eec383296a40dcb8ea6797a31fbb57b	false	true	false	9	false	false	false	false	false	argument_to_parameter_flow.py	57	0	58	53	8	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_36b6e3987719a70d1c90581bd4aecc36
FUNCTION	call_with_default_taken	argument_to_parameter_flow.call_with_default_taken	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_d4da59784aac77758abf9291ba51bc8f	false	true	false	10	false	false	false	false	false	argument_to_parameter_flow.py	61	0	62	43	9	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_9ef620cac4a0189368182fb784b527aa
FUNCTION	call_mixed_positional_and_keyword	argument_to_parameter_flow.call_mixed_positional_and_keyword	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_470dd26756c38ac01b89a762f53e9eda	false	true	false	11	false	false	false	false	false	argument_to_parameter_flow.py	65	0	67	65	10	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_846deec199f9eb2cb84d6af8cca610e7
FUNCTION	call_transitive	argument_to_parameter_flow.call_transitive	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_41832f3a5fc01b56099728479bad830e	false	true	false	12	false	false	false	false	false	argument_to_parameter_flow.py	70	0	73	44	11	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_94ec286f86a48dbae31645f3ef2eee50
FUNCTION	forwarding_callee	argument_to_parameter_flow.forwarding_callee	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_c05257965c5034a366444a47f8fab716	false	true	false	13	false	false	false	false	false	argument_to_parameter_flow.py	76	0	78	37	12	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_ac0c15fd627a8c07b1ed2290b8f14706
FUNCTION	call_same_param_two_types	argument_to_parameter_flow.call_same_param_two_types	1	PY_SCOPE_850472b769a962131b1227af3589d5b9	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	METHOD	PY_METHOD_db7e5debe1cd9fb866ea2184bf83ba3f	false	true	false	14	false	false	false	false	false	argument_to_parameter_flow.py	81	0	85	29	13	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_82525f83711515fbbd77c67bbdb1527f
MODULE	top	blocks_and_conditional_flow	0		PY_MODULE_46145c2a5de067cf211000725bcdb8de	MODULE	PY_MODULE_46145c2a5de067cf211000725bcdb8de	false	false	true	0	false	false	false	false	false	blocks_and_conditional_flow.py	0	0	107	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4
FUNCTION	if_elif_else	blocks_and_conditional_flow.if_elif_else	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_c08c95c91dab5d42862362a14f225fba	false	true	false	1	false	false	false	false	false	blocks_and_conditional_flow.py	31	0	38	18	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_c56fdb26b061687029d0b731a00504a0
FUNCTION	nested_blocks	blocks_and_conditional_flow.nested_blocks	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_f566c548ebfe64c6c3308420b0e4652e	false	true	false	2	false	false	false	false	false	blocks_and_conditional_flow.py	41	0	53	16	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_ca22866907d11fc9370982938164ce1f
FUNCTION	try_except_else_finally	blocks_and_conditional_flow.try_except_else_finally	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_1ca9b70df2a25af8dca149c7759f5a07	false	true	false	3	false	false	false	false	false	blocks_and_conditional_flow.py	56	0	71	15	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_c65ac44c18b807be47252ad2f7276830
FUNCTION	with_single_and_multiple	blocks_and_conditional_flow.with_single_and_multiple	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_ac4a93b396bf221792a5b0824ce9c277	false	true	false	4	false	false	false	false	false	blocks_and_conditional_flow.py	74	0	78	42	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_036f5a1ae2293b966a206476492c243b
FUNCTION	calls_inside_every_block_kind	blocks_and_conditional_flow.calls_inside_every_block_kind	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_efc21184bae1ab20823e5a77e6489e63	false	true	false	5	false	false	false	false	false	blocks_and_conditional_flow.py	81	0	95	21	4	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_9e46cd2d60c4402ab8845b5e18b120eb
FUNCTION	comprehension_inside_a_block	blocks_and_conditional_flow.comprehension_inside_a_block	1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	PY_MODULE_46145c2a5de067cf211000725bcdb8de	METHOD	PY_METHOD_7eddb4d3b7255145f26a5cb31161ef1b	false	true	true	6	false	false	false	false	false	blocks_and_conditional_flow.py	98	0	101	51	5	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_b81ce063bea4f86604f9b05ff2db4c56
COMPREHENSION_LIST	listcomp	blocks_and_conditional_flow.comprehension_inside_a_block.<locals>.listcomp	2	PY_SCOPE_b81ce063bea4f86604f9b05ff2db4c56	PY_MODULE_46145c2a5de067cf211000725bcdb8de	COMPREHENSION	PY_METHOD_7eddb4d3b7255145f26a5cb31161ef1b	true	true	false	7	false	false	false	false	false	blocks_and_conditional_flow.py	100	15	100	46	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_9edeffd1c88fff562817fa312505ce43
COMPREHENSION_DICT	dictcomp	blocks_and_conditional_flow.comprehension_inside_a_block.<locals>.dictcomp	2	PY_SCOPE_b81ce063bea4f86604f9b05ff2db4c56	PY_MODULE_46145c2a5de067cf211000725bcdb8de	COMPREHENSION	PY_METHOD_7eddb4d3b7255145f26a5cb31161ef1b	true	true	false	8	false	false	false	false	false	blocks_and_conditional_flow.py	101	11	101	51	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_279e4a8b00b4afd25d7bb2c5b37b0980
MODULE	top	call_site_shapes	0		PY_MODULE_4aae2613b4da1ab193c5ea488a873480	MODULE	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	false	false	true	0	false	false	false	false	false	call_site_shapes.py	0	0	116	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_b3aca4bef919752b89f94426f2986bad
CLASS	Widget	call_site_shapes.Widget	1	PY_SCOPE_b3aca4bef919752b89f94426f2986bad	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	TYPE	PY_TYPE_89132fdbeb8e0dd6e92a9fd413a40f2a	false	false	true	1	false	false	false	false	false	call_site_shapes.py	11	0	52	33	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_418a92849be2784b0f0d2c64d8aec25d
FUNCTION	__init__	call_site_shapes.Widget.__init__	2	PY_SCOPE_418a92849be2784b0f0d2c64d8aec25d	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	METHOD	PY_METHOD_6f4c37f04330de911c5a2a714cde6ada	false	true	false	2	false	false	false	false	false	call_site_shapes.py	14	4	16	26	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_e468eddd7062744df2b29ca18485b656
FUNCTION	render	call_site_shapes.Widget.render	2	PY_SCOPE_418a92849be2784b0f0d2c64d8aec25d	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	METHOD	PY_METHOD_8a00c6a209e528e05bb5ad19edcb18f0	false	true	false	3	false	false	false	false	false	call_site_shapes.py	18	4	19	24	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_36d41b4c413c83be1cec398f4f728fcd
FUNCTION	build	call_site_shapes.Widget.build	2	PY_SCOPE_418a92849be2784b0f0d2c64d8aec25d	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	METHOD	PY_METHOD_fbebff5666a0c70f228cd582d19e5e21	false	true	false	4	false	false	false	false	false	call_site_shapes.py	22	4	24	24	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_ab9da2109f017446761e251d597f3813
