name	pyScopeLinkHash	bindingKind	bindingOrigin	isParameter	isLocal	isGlobal	isNonlocal	isFree	isImported	isAssigned	isReferenced	isDeclaredGlobal	isAnnotated	isNamespace	bindingCount	firstBindingLine	lastBindingLine	declaredTypeName	declaredBaseType	potentialQualifiedName	isAmbiguous	targetEntityKind	targetEntityHash	pyModuleLinkHash	pyMethodLinkHash	filePath	serviceVersionLinkHash	pyBindingUniqueHash
Account	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	IMPORTED	IMPORT	false	true	true	false	false	true	false	false	false	false	false	1	11	11				false	IMPORT	PY_IMPORT_981760ab9c765dafdbc33e098ef9867e	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_462fe4927d7adb066eeb1115133db534
Ledger	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	IMPORTED	IMPORT	false	true	true	false	false	true	false	false	false	false	false	1	11	11				false	IMPORT	PY_IMPORT_745db92b035606e86c7337b8e6b212c6	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_7c146fe64a14605b9bfd3aa342237932
call_through_passthrough	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	48	48				false	METHOD	PY_METHOD_8a98e879e2c694eb9197bff6e20af1b0	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_02f2b52ac6890af986d4202d6591a8ff
concrete_target	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	14	14				false	METHOD	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_f5f9c3ccaca3f024e55337b23447f517
full_passthrough	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	29	29				false	METHOD	PY_METHOD_b3c80121fe8c4631c0606909c9ae24f2	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_8f9c16be24db82e14f4230433da89a43
kwargs_only_passthrough	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	25	25				false	METHOD	PY_METHOD_cea36a77e9c18f57b6d17929bc1bc873	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_adbaae0f2235de76ca5dee37f82bb5e1
partial_splat	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	34	34				false	METHOD	PY_METHOD_5f51b71454110ce2111c8c1a81fe45dd	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_7e187c57dc04867a895fb7563ec6db27
splat_a_genexp	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	44	44				false	METHOD	PY_METHOD_4292c7c567ee3086f3a46288e25e1379	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_1671bf04b0df8f0257dc7ef0282e9384
splat_a_literal_tuple	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	39	39				false	METHOD	PY_METHOD_72710bdb71caade98c6dd701237ccecb	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_481ca6c8616eef9cb153da09aecbee74
star_only_passthrough	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	MODULE_LEVEL	FUNCTION_DEF	false	true	true	false	false	false	true	false	false	false	true	1	19	19				false	METHOD	PY_METHOD_12613e51da2b1c6140bd0d2d97a83705	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_98fb279af19ce570f3aa12de91004416	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_e063b5666ef8c6890501092190b88bad
account	PY_SCOPE_02c2985b07ab08118fb930bf98e71011	PARAMETER	PARAMETER	true	true	false	false	false	false	false	true	false	false	false	1	14	14				false	PARAMETER	PY_METHOD_PARAMETER_bb5000963e22f6132bf1178ff32e6cc5	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_3b44b5bcea2c97df3af2637fc4157bce
ledger	PY_SCOPE_02c2985b07ab08118fb930bf98e71011	PARAMETER	PARAMETER	true	true	false	false	false	false	false	true	false	false	false	1	14	14				false	PARAMETER	PY_METHOD_PARAMETER_d4bd2b34a6e9a40daadf71f278ad5ad7	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_6a5c52fd4e5152fad7d870472c899017
note	PY_SCOPE_02c2985b07ab08118fb930bf98e71011	PARAMETER	PARAMETER	true	true	false	false	false	false	false	true	false	false	false	1	14	14				false	PARAMETER	PY_METHOD_PARAMETER_37bd9e1c6d11edf01e471fe66c11b3f4	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_43816376a6b9bdcb810f04d9f20ae790
args	PY_SCOPE_8c413c55391c42fd7072a54b1a207ac6	PARAMETER	PARAMETER	true	true	false	false	false	false	false	true	false	false	false	1	19	19				false	PARAMETER	PY_METHOD_PARAMETER_6de9ad94d1fb1abb00fc999c4fea8188	PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_12613e51da2b1c6140bd0d2d97a83705	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_f217ac40157f18def05dc6e100150147
concrete_target	PY_SCOPE_8c413c55391c42fd7072a54b1a207ac6	GLOBAL_IMPLICIT	ASSIGNMENT	false	false	true	false	false	false	false	true	false	false	false	0	0	0				false	NONE		PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_12613e51da2b1c6140bd0d2d97a83705	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_ae2c90b79be5613b6b6593177daf2df5
concrete_target	PY_SCOPE_c57d79792f3f64aef620c792a2081c79	GLOBAL_IMPLICIT	ASSIGNMENT	false	false	true	false	false	false	false	true	false	false	false	0	0	0				false	NONE		PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_METHOD_cea36a77e9c18f57b6d17929bc1bc873	args_kwargs_passthrough.py	SERVICE_VERSION_00000000000000000000000000000000	PY_BINDING_3e2d46dafdefa1c3727d985755d9efb9
