name	fieldTypeName	fieldBaseType	potentialQualifiedName	isAmbiguous	filePath	startLine	endLine	pyTypeLinkHash	ownerTypeName	ownerQualifiedName	fieldAccess	fieldModifier	fieldOrigin	declaringMethodLinkHash	receiverName	isDeclaredInInit	writeCount	writtenInMethodCount	firstWriteLine	hasAnnotation	annotationIsString	initializerText	initializerKind	pyModuleLinkHash	bindingLinkHash	pyExpressionLinkHash	serviceVersionLinkHash	pyFieldUniqueHash
registry				false	call_site_shapes.py	11	11	PY_TYPE_89132fdbeb8e0dd6e92a9fd413a40f2a	Widget	call_site_shapes.Widget	PUBLIC_ACCESS	CLASS_VAR,READ_ONLY	CLASS_BODY_ASSIGN			false	1	0	11	false	false	{}	LITERAL	PY_MODULE_4aae2613b4da1ab193c5ea488a873480	PY_BINDING_836fba15a7b0be5978df0bca5e57fe2f	PY_EXPRESSION_c821226f1f1657f404b7a85fc4ceb095	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_0d5d91b9cb0bd65397e66f0f5c199946
name				false	call_site_shapes.py	14	14	PY_TYPE_89132fdbeb8e0dd6e92a9fd413a40f2a	Widget	call_site_shapes.Widget	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_6f4c37f04330de911c5a2a714cde6ada	self	true	1	1	14	false	false	name	NAME	PY_MODULE_4aae2613b4da1ab193c5ea488a873480		PY_EXPRESSION_78e21060679ed39d8fef732de6256c18	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_dbaeb83d98c6fd788c6075589f932d23
children				false	call_site_shapes.py	15	15	PY_TYPE_89132fdbeb8e0dd6e92a9fd413a40f2a	Widget	call_site_shapes.Widget	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_6f4c37f04330de911c5a2a714cde6ada	self	true	1	1	15	false	false	[]	LITERAL	PY_MODULE_4aae2613b4da1ab193c5ea488a873480		PY_EXPRESSION_f129bc5f05e818743d6e20c48ab47c1a	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_68f18956f8ee7bad66d9804ab5889f99
field				false	integration_service_layer.py	21	21	PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5	ValidationError	integration_service_layer.ValidationError	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_77c3686c61f40ebcffd88460909eda13	self	true	1	1	21	false	false	field	NAME	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_0cd88ff7643e242dd6aef909722800aa	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_ab3bbe1f426645e2d667ba7354167a61
message				false	integration_service_layer.py	22	22	PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5	ValidationError	integration_service_layer.ValidationError	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_77c3686c61f40ebcffd88460909eda13	self	true	1	1	22	false	false	message	NAME	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_0e49f699c375e5d64ba1d0fb26bbcf1c	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_5c2bff358e930a71a461f5f9e3bad5cc
MIN_AMOUNT				false	integration_service_layer.py	26	26	PY_TYPE_9deedaea90d20e656e8c801aca75c5ee	AccountValidator	integration_service_layer.AccountValidator	PUBLIC_ACCESS	CLASS_VAR,READ_ONLY	CLASS_BODY_ASSIGN			false	1	0	26	false	false	1	LITERAL	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e	PY_BINDING_c20b65ad06df486247ed15e164cff041	PY_EXPRESSION_a3d8334f3ff3a7f25cc0bd61c8105617	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_72484fd7fc4f3a81247f2d05ad774490
errors				false	integration_service_layer.py	29	29	PY_TYPE_9deedaea90d20e656e8c801aca75c5ee	AccountValidator	integration_service_layer.AccountValidator	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_a06737389772974f0644c675d63ff603	self	true	1	1	29	false	false	[]	LITERAL	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_b8ab68ec54b64cfb837d741814b01d2c	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_a37c40e4ac03a77b2f77318ee54ed7f0
ledger				false	integration_service_layer.py	45	45	PY_TYPE_dff12876742058f9582b3f3848aa5392	TransferService	integration_service_layer.TransferService	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_abfce174106901a960c915c66b87a856	self	true	1	1	45	false	false	ledger if ledger is not None else Ledger()	UNKNOWN	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_517b1bb9a17610c48ce3df00c6dbb1cb	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_e2ca0aa1879fcd8b6cce6dddbd0e3176
validator				false	integration_service_layer.py	46	46	PY_TYPE_dff12876742058f9582b3f3848aa5392	TransferService	integration_service_layer.TransferService	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_abfce174106901a960c915c66b87a856	self	true	1	1	46	false	false	AccountValidator()	CALL	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_b33b626e90e6f18538e642fda88607c3	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_50c11b3c186cfd3cd9b11c4b7a6b4f9f
completed				false	integration_service_layer.py	47	47	PY_TYPE_dff12876742058f9582b3f3848aa5392	TransferService	integration_service_layer.TransferService	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_abfce174106901a960c915c66b87a856	self	true	1	1	47	false	false	0	LITERAL	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_52e633cc355d65756947083518513e5d	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_3856f82bca2e60b70ea23bea11d99100
completed				false	integration_service_layer.py	71	71	PY_TYPE_dff12876742058f9582b3f3848aa5392	TransferService	integration_service_layer.TransferService	PUBLIC_ACCESS	INSTANCE_VAR	SELF_AUGASSIGN	PY_METHOD_a4f44c51e1252db01cd41953f6bb0547	self	false	1	1	71	false	false		NONE	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_EXPRESSION_a903c2470c52c57aeb10d45ba3c262ac	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_3589c15beb7d7e509fb9719546c503d3
