name	signature	detailedSignature	qualifiedName	filePath	startLine	endLine	pyTypeLinkHash	ownerTypeName	ownerQualifiedName	methodAccess	methodModifier	returnTypeName	isVarArgs	hasReceiverParameter	defaultValueExpression	methodKind	parameterCount	hasTypeParameters	throwsExceptions	enclosingMemberLinkHash	pyModuleLinkHash	scopeLinkHash	declaringBindingLinkHash	posOnlyCount	kwOnlyCount	hasKwArgs	isArgsKwargsPassthrough	isAsync	isGenerator	decoratorCount	bodyIsStub	startColumn	endColumn	serviceVersionLinkHash	pyMethodUniqueHash
<module>	<module>()		args_kwargs_passthrough.<module>	args_kwargs_passthrough.py	1	54				PUBLIC_ACCESS	SYNTHETIC		false	false		MODULE_INITIALIZER	0	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d		0	0	false	false	false	false	0	false	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_98fb279af19ce570f3aa12de91004416
concrete_target	concrete_target(account, ledger, note)	concrete_target(account, ledger, note = None)	args_kwargs_passthrough.concrete_target	args_kwargs_passthrough.py	14	16				PUBLIC_ACCESS			false	false		FUNCTION	3	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_02c2985b07ab08118fb930bf98e71011	PY_BINDING_f5f9c3ccaca3f024e55337b23447f517	0	0	false	false	false	false	0	false	0	15	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_af1040c2eac14cc23c3bad2178f5641c
star_only_passthrough	star_only_passthrough(*args)	star_only_passthrough(*args)	args_kwargs_passthrough.star_only_passthrough	args_kwargs_passthrough.py	19	22				PUBLIC_ACCESS			true	false		FUNCTION	1	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_8c413c55391c42fd7072a54b1a207ac6	PY_BINDING_e063b5666ef8c6890501092190b88bad	0	0	false	false	false	false	0	false	0	33	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_12613e51da2b1c6140bd0d2d97a83705
kwargs_only_passthrough	kwargs_only_passthrough(**kwargs)	kwargs_only_passthrough(**kwargs)	args_kwargs_passthrough.kwargs_only_passthrough	args_kwargs_passthrough.py	25	26				PUBLIC_ACCESS			false	false		FUNCTION	1	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_c57d79792f3f64aef620c792a2081c79	PY_BINDING_adbaae0f2235de76ca5dee37f82bb5e1	0	0	true	false	false	false	0	false	0	36	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_cea36a77e9c18f57b6d17929bc1bc873
full_passthrough	full_passthrough(*args, **kwargs)	full_passthrough(*args, **kwargs)	args_kwargs_passthrough.full_passthrough	args_kwargs_passthrough.py	29	31				PUBLIC_ACCESS			true	false		FUNCTION	2	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_e078751b18a4ea82e25e0c3ff5bbd956	PY_BINDING_8f9c16be24db82e14f4230433da89a43	0	0	true	true	false	false	0	false	0	43	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_b3c80121fe8c4631c0606909c9ae24f2
partial_splat	partial_splat(account, *rest)	partial_splat(account, *rest)	args_kwargs_passthrough.partial_splat	args_kwargs_passthrough.py	34	36				PUBLIC_ACCESS			true	false		FUNCTION	2	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_b890af9d763c39ffb1fe4c3c4b0663a3	PY_BINDING_7e187c57dc04867a895fb7563ec6db27	0	0	false	false	false	false	0	false	0	42	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_5f51b71454110ce2111c8c1a81fe45dd
splat_a_literal_tuple	splat_a_literal_tuple(account, ledger)	splat_a_literal_tuple(account, ledger)	args_kwargs_passthrough.splat_a_literal_tuple	args_kwargs_passthrough.py	39	41				PUBLIC_ACCESS			false	false		FUNCTION	2	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_ef4a0e06203a25e248c1ca092278922d	PY_BINDING_481ca6c8616eef9cb153da09aecbee74	0	0	false	false	false	false	0	false	0	46	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_72710bdb71caade98c6dd701237ccecb
splat_a_genexp	splat_a_genexp(accounts)	splat_a_genexp(accounts)	args_kwargs_passthrough.splat_a_genexp	args_kwargs_passthrough.py	44	45				PUBLIC_ACCESS			false	false		FUNCTION	1	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_dff3b66c7c4eb0398c3e9b7ed98ffd43	PY_BINDING_1671bf04b0df8f0257dc7ef0282e9384	0	0	false	false	false	false	0	false	0	48	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_4292c7c567ee3086f3a46288e25e1379
call_through_passthrough	call_through_passthrough(owner)	call_through_passthrough(owner)	args_kwargs_passthrough.call_through_passthrough	args_kwargs_passthrough.py	48	53				PUBLIC_ACCESS			false	false		FUNCTION	1	false			PY_MODULE_eaac5d3d87793210a2655db9a761dce0	PY_SCOPE_40b5ef0ae36bba20e33919e0417d7306	PY_BINDING_02f2b52ac6890af986d4202d6591a8ff	0	0	false	false	false	false	0	false	0	51	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_8a98e879e2c694eb9197bff6e20af1b0
<module>	<module>()		argument_to_parameter_flow.<module>	argument_to_parameter_flow.py	1	86				PUBLIC_ACCESS	SYNTHETIC		false	false		MODULE_INITIALIZER	0	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_850472b769a962131b1227af3589d5b9		0	0	false	false	false	false	0	false	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_c6aa1f86dabb668bdc8ccb16358da101
positional_callee	positional_callee(account)	positional_callee(account)	argument_to_parameter_flow.positional_callee	argument_to_parameter_flow.py	16	18				PUBLIC_ACCESS			false	false		FUNCTION	1	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_8729c1fca6554e2e493652c72575d345	PY_BINDING_dc2bc236227f2fd55f51c99c35753f8b	0	0	false	false	false	false	0	false	0	28	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_ca6935fcd43cbae787fac2db38395296
two_positional_callee	two_positional_callee(first, second)	two_positional_callee(first, second)	argument_to_parameter_flow.two_positional_callee	argument_to_parameter_flow.py	21	22				PUBLIC_ACCESS			false	false		FUNCTION	2	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_99b54f980d4037f803d268585046bede	PY_BINDING_45ef252ac45665cad41c9c97d36e38fb	0	0	false	false	false	false	0	false	0	45	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_cb61ece167391d5e74b4da58d3005662
keyword_callee	keyword_callee(*, account, ledger)	keyword_callee(*, account, ledger)	argument_to_parameter_flow.keyword_callee	argument_to_parameter_flow.py	25	29				PUBLIC_ACCESS			false	false		FUNCTION	2	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_3fd4edc853f7d7311c46d3e002b28435	PY_BINDING_9e44580bc6abeb341234e1226213e9ff	0	2	false	false	false	false	0	false	0	25	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_178f8ff53cb58e7c628d01c887a6eaf7
defaulted_callee	defaulted_callee(account, factor)	defaulted_callee(account, factor = 2)	argument_to_parameter_flow.defaulted_callee	argument_to_parameter_flow.py	32	33				PUBLIC_ACCESS			false	false		FUNCTION	2	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_bd278df1ff2e2b59f68598dd57c8acc5	PY_BINDING_213026cbc4c31840c1566a9b6a802625	0	0	false	false	false	false	0	false	0	37	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_8d89db55b3284af038c85942f3e43c94
mixed_callee	mixed_callee(ledger, account, note)	mixed_callee(ledger, account, note = None)	argument_to_parameter_flow.mixed_callee	argument_to_parameter_flow.py	36	38				PUBLIC_ACCESS			false	false		FUNCTION	3	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_9d57cb89c3e433b9416edaee3d3cb8d8	PY_BINDING_48fc4eeba4568d0647fa169adbd753e6	0	0	false	false	false	false	0	false	0	15	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_b4d83dae449aacdb8b41d27cdda8ccc1
call_positional	call_positional(owner)	call_positional(owner)	argument_to_parameter_flow.call_positional	argument_to_parameter_flow.py	43	45				PUBLIC_ACCESS			false	false		FUNCTION	1	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_07ca87bfb810f2882cb2e17ecee65015	PY_BINDING_7116a07ae688ff2efcd46f8ae3b5cc20	0	0	false	false	false	false	0	false	0	34	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_42739288421947271384edbcb3fa974d
call_positional_twice	call_positional_twice(owner_a, owner_b)	call_positional_twice(owner_a, owner_b)	argument_to_parameter_flow.call_positional_twice	argument_to_parameter_flow.py	48	49				PUBLIC_ACCESS			false	false		FUNCTION	2	false			PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51	PY_SCOPE_eafae0c6435977b0ddab86bdaf3b8f5c	PY_BINDING_a3a2456e984d46b62e02ee937e5eb4ff	0	0	false	false	false	false	0	false	0	68	SERVICE_VERSION_00000000000000000000000000000000	PY_METHOD_71702c732583c18df5dc408715b0f7ed
