name	qualifiedName	fileName	filePath	baseMservPath	moduleKind	packageQualifiedName	isPackage	isStub	pythonDialect	targetVersion	emissionRegime	grammarUsed	futureImports	encodingDeclared	hasModuleDocstring	hasDunderAll	dunderAllIsStatic	dunderAllNames	moduleInitMethodLinkHash	moduleScopeLinkHash	isExternal	serviceVersionLinkHash	pyModuleUniqueHash
args_kwargs_passthrough	args_kwargs_passthrough	args_kwargs_passthrough.py	args_kwargs_passthrough.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_98fb279af19ce570f3aa12de91004416	PY_SCOPE_dedb55837ecfe9764a3046ff76d8ba8d	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_eaac5d3d87793210a2655db9a761dce0
argument_to_parameter_flow	argument_to_parameter_flow	argument_to_parameter_flow.py	argument_to_parameter_flow.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_c6aa1f86dabb668bdc8ccb16358da101	PY_SCOPE_850472b769a962131b1227af3589d5b9	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_3e2577d507dabc3d49a0e7ec37344e51
blocks_and_conditional_flow	blocks_and_conditional_flow	blocks_and_conditional_flow.py	blocks_and_conditional_flow.py	/repo	MAIN_GUARD_SCRIPT		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_045a8d3c36f9f34f18cb9bc6010d2ff1	PY_SCOPE_09fc4ebb4c180ea7c3aaa0ec4e5b0ff4	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_46145c2a5de067cf211000725bcdb8de
call_site_shapes	call_site_shapes	call_site_shapes.py	call_site_shapes.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_e85c3d1307a5a5571064b639a9cc3262	PY_SCOPE_b3aca4bef919752b89f94426f2986bad	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_4aae2613b4da1ab193c5ea488a873480
imports_resolution_flow	imports_resolution_flow	imports_resolution_flow.py	imports_resolution_flow.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_4d67acc2f94adf3f266748c424f2c406	PY_SCOPE_6b3188baec654bfac089fc808e216ca0	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_2f026c03952e3d7d641f6bcec50aa45e
integration_service_layer	integration_service_layer	integration_service_layer.py	integration_service_layer.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_96f938fbd211816e0d2e0047feb56949	PY_SCOPE_52128e6c465d3dfae843bba3c50162da	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e
local_variable_flow	local_variable_flow	local_variable_flow.py	local_variable_flow.py	/repo	MODULE		false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_a8bfd074a868eda7ddd94f14345cb9ff	PY_SCOPE_75674551fc694a700896e9c0038131ce	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_47bc7c208a0cd524af17965fb97762d1
pkg	pkg	__init__.py	pkg/__init__.py	/repo	PACKAGE_INIT		true	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	true	true	Account,Ledger,find_account	PY_METHOD_8baf05ae00af71aeecd786062bcb7361	PY_SCOPE_b73c03b86ab5928df2fe75561c200d60	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_f6cea4e9d38d07a6a42f1b08a125bac4
models	pkg.models	models.py	pkg/models.py	/repo	MODULE	pkg	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_296867f1523d44be2bf2d7ecd8c49dcf	PY_SCOPE_c36e0f2c836b876e6dd802443d88744e	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4
repository	pkg.repository	repository.py	pkg/repository.py	/repo	MODULE	pkg	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_3056fcbeffd1306c1486d70c7df9aa5e	PY_SCOPE_b0dc193066d1e98655f560bf296da410	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_d3b70aaf7bb86c1af4aacf97de85878b
