kind	context	pyTypeLinkHash	typeParameterLinkHash	referencedTypeLinkHash	parentReferenceHash	position	depth	typeName	completeTypeName	typeVariableName	arrayDimensions	wildcardVariance	startLine	endLine	typeReferenceOwnerHash	referenceOwnerKind	pyScopeLinkHash	pyModuleLinkHash	isStringForwardRef	isTypeCommentDerived	isOptional	pyExpressionLinkHash	serviceVersionLinkHash	pyTypeReferenceUniqueHash
NAME	BASE_CLASS	PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5				0	0	Exception	Exception				19	19	PY_TYPE_BASE_cad3c5d0a1b9ba836b3eae2090a81f9d	TYPE_BASE		PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_0a0cd72766159f65a439842e92c69b4d
OPTIONAL	METHOD_RETURN	PY_TYPE_9deedaea90d20e656e8c801aca75c5ee				0	0	Optional	Optional[ValidationError]				38	38	PY_METHOD_6cc51de6adf0eda0911df3654fc37b80	METHOD	PY_SCOPE_32447883d03e473da8aa9cee3429d1dc	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e	false	false	true		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_b509c7b664a300b6c886bd8ae498388e
NAME	GENERIC_ARGUMENT	PY_TYPE_9deedaea90d20e656e8c801aca75c5ee		PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5	PY_TYPE_REFERENCE_b509c7b664a300b6c886bd8ae498388e	0	1	ValidationError	ValidationError				38	38	PY_METHOD_6cc51de6adf0eda0911df3654fc37b80	METHOD	PY_SCOPE_32447883d03e473da8aa9cee3429d1dc	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_b6e37bc4acc36ef8f70cb710cd433734
NAME	METHOD_PARAM			PY_TYPE_370308d5c9f53659a6b458a2a5ff6cfc		0	0	MemoryStore	MemoryStore				72	72	PY_METHOD_PARAMETER_4284db647f6110eb942db34d7ba251b2	METHOD_PARAM	PY_SCOPE_f388bd3cce38c8238cf3ea705f6ee313	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_ecac4e40d887d617e5f6fdd31e8f476e
NAME	METHOD_RETURN			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8		0	0	Account	Account				17	17	PY_METHOD_80d94179b1e253759098e913ccd1a0f1	METHOD	PY_SCOPE_d2bab5fdd2d135810e5a86a9bef37027	PY_MODULE_9c9f1480da13fb17657d9fde537a37e0	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_4761b1de1f54d42cb81aeac9db6a91ad
NAME	BASE_CLASS	PY_TYPE_8c23474ac198ab42fc8b799ff25b3510		PY_TYPE_e6f0886e1ee43ec949057e681defe894		0	0	Service	Service				89	89	PY_TYPE_BASE_1da6b73806dfc6b209c13a7132ac2153	TYPE_BASE		PY_MODULE_47972cfb252e2f1acae1bbbe05a0ad79	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_b4a27c24cd36cb5383c778f4f4e7ba5e
NAME	METHOD_RETURN					0	0	int	int				15	15	PY_METHOD_2e5eaf575119985a49af4ab5c1965db1	METHOD	PY_SCOPE_683b318ba2b40d7703855ca28a459693	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_4712470b7fffe7808d6f693ddfc34e1b
NAME	METHOD_PARAM			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8		0	0	Account	Account				15	15	PY_METHOD_PARAMETER_e22623d22342f54abf577c62fe561505	METHOD_PARAM	PY_SCOPE_683b318ba2b40d7703855ca28a459693	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_ff543033d9940bc2cb526431b30bd554
NAME	METHOD_PARAM			PY_TYPE_65c006b7dc1da8d5b431a90353733207		0	0	Ledger	Ledger				15	15	PY_METHOD_PARAMETER_845cbee3fe75bc0d90c78b730b5a5346	METHOD_PARAM	PY_SCOPE_683b318ba2b40d7703855ca28a459693	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_d3da353f05d67ce84cd4ae842275bdf4
NAME	METHOD_PARAM					0	0	int	int				15	15	PY_METHOD_PARAMETER_933b55c503689da657b14ef4b073a2d6	METHOD_PARAM	PY_SCOPE_683b318ba2b40d7703855ca28a459693	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_e36ac748e5966b9ad7f23a0aab4887b6
NAME	METHOD_RETURN					0	0	int	int				21	21	PY_METHOD_f558aabfa6800bc64e2a06dd58737257	METHOD	PY_SCOPE_e63f1e0af4a19e5f0ab86562a1895c7b	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_8693cd56c858fa897fff5f1ef88c2a6e
OPTIONAL	METHOD_PARAM					0	0	Optional	Optional[Account]				21	21	PY_METHOD_PARAMETER_57020863a1aa3e2ead3afe058527e334	METHOD_PARAM	PY_SCOPE_e63f1e0af4a19e5f0ab86562a1895c7b	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	true		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_b8392b1f5f159d30759ace0225b6e303
NAME	GENERIC_ARGUMENT			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	PY_TYPE_REFERENCE_b8392b1f5f159d30759ace0225b6e303	0	1	Account	Account				21	21	PY_METHOD_PARAMETER_57020863a1aa3e2ead3afe058527e334	METHOD_PARAM	PY_SCOPE_e63f1e0af4a19e5f0ab86562a1895c7b	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_2d4e20a8288dd220fb4091734de65f42
NAME	METHOD_RETURN					0	0	str	str				28	28	PY_METHOD_59c08f568968fd88e747104912c7cd2e	METHOD	PY_SCOPE_af40372cc9145ef4c33c8b82edce4537	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_65c0b337994caf4fcae04195b5fb905d
UNION_PEP604	METHOD_PARAM					0	0	Union	Union[Account, Ledger]				28	28	PY_METHOD_PARAMETER_81e6049bbded988c62654a0cd2e9fd5e	METHOD_PARAM	PY_SCOPE_af40372cc9145ef4c33c8b82edce4537	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_e7b4103725ff1cae6942d6529d13f6ed
NAME	GENERIC_ARGUMENT			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	PY_TYPE_REFERENCE_e7b4103725ff1cae6942d6529d13f6ed	0	1	Account	Account				28	28	PY_METHOD_PARAMETER_81e6049bbded988c62654a0cd2e9fd5e	METHOD_PARAM	PY_SCOPE_af40372cc9145ef4c33c8b82edce4537	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_beb30afa59f88845dd8e7b6c38818a51
NAME	GENERIC_ARGUMENT			PY_TYPE_65c006b7dc1da8d5b431a90353733207	PY_TYPE_REFERENCE_e7b4103725ff1cae6942d6529d13f6ed	1	1	Ledger	Ledger				28	28	PY_METHOD_PARAMETER_81e6049bbded988c62654a0cd2e9fd5e	METHOD_PARAM	PY_SCOPE_af40372cc9145ef4c33c8b82edce4537	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_e958f6dba18b5d34353fa3afbc764621
NAME	METHOD_RETURN					0	0	int	int				32	32	PY_METHOD_5c48b9f9970f88bf43555f1afeeefdb9	METHOD	PY_SCOPE_7aa851e6f3de84f228d994fc75fcfe35	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_d5312b00fdbf13a433db3cd16098e87d
SUBSCRIPT	METHOD_PARAM					0	0	Dict	Dict[str, List[Account]]				32	32	PY_METHOD_PARAMETER_085af3457911dea480f9a6ef45666346	METHOD_PARAM	PY_SCOPE_7aa851e6f3de84f228d994fc75fcfe35	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_cd0dc2bc6cb49e5a97a873fa738bd872
NAME	GENERIC_ARGUMENT				PY_TYPE_REFERENCE_cd0dc2bc6cb49e5a97a873fa738bd872	0	1	str	str				32	32	PY_METHOD_PARAMETER_085af3457911dea480f9a6ef45666346	METHOD_PARAM	PY_SCOPE_7aa851e6f3de84f228d994fc75fcfe35	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_a0683b7080441f18a8b585ad4e6b1091
SUBSCRIPT	GENERIC_ARGUMENT				PY_TYPE_REFERENCE_cd0dc2bc6cb49e5a97a873fa738bd872	1	1	List	List[Account]				32	32	PY_METHOD_PARAMETER_085af3457911dea480f9a6ef45666346	METHOD_PARAM	PY_SCOPE_7aa851e6f3de84f228d994fc75fcfe35	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_e2aeafb290e48046d4379dceda7ae370
NAME	GENERIC_ARGUMENT			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	PY_TYPE_REFERENCE_e2aeafb290e48046d4379dceda7ae370	0	2	Account	Account				32	32	PY_METHOD_PARAMETER_085af3457911dea480f9a6ef45666346	METHOD_PARAM	PY_SCOPE_7aa851e6f3de84f228d994fc75fcfe35	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_c40d7811b43b86f1ecdf152ad953bdaa
NAME	METHOD_RETURN					0	0	int	int				40	40	PY_METHOD_2e3cb8ea24de391bafbdd2d2eb607239	METHOD	PY_SCOPE_bec2874ab3edc3284f7b3e4746910116	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_089c62876ccae3af40891724d5d3e2cb
CALLABLE	METHOD_PARAM					0	0	Callable	Callable[[int], int]				40	40	PY_METHOD_PARAMETER_3c171505b06b92154797fbe35801b2ef	METHOD_PARAM	PY_SCOPE_bec2874ab3edc3284f7b3e4746910116	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_fc6c558658058a0adbb64855133bcaf7
NAME	GENERIC_ARGUMENT				PY_TYPE_REFERENCE_fc6c558658058a0adbb64855133bcaf7	0	1	int	int				40	40	PY_METHOD_PARAMETER_3c171505b06b92154797fbe35801b2ef	METHOD_PARAM	PY_SCOPE_bec2874ab3edc3284f7b3e4746910116	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_1ca8839ff949e8b91bff22608b1eea1d
NAME	GENERIC_ARGUMENT				PY_TYPE_REFERENCE_fc6c558658058a0adbb64855133bcaf7	1	1	int	int				40	40	PY_METHOD_PARAMETER_3c171505b06b92154797fbe35801b2ef	METHOD_PARAM	PY_SCOPE_bec2874ab3edc3284f7b3e4746910116	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_4bc9579d981b627c6045bf2603962e32
NAME	METHOD_PARAM					0	0	int	int				40	40	PY_METHOD_PARAMETER_0c6f74fe8417d55df88035e9cc5380db	METHOD_PARAM	PY_SCOPE_bec2874ab3edc3284f7b3e4746910116	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_40b95332a5399fd9c110180c2aab1938
STRING_FORWARD_REF	METHOD_RETURN			PY_TYPE_65c006b7dc1da8d5b431a90353733207		0	0	Ledger	"""Ledger"""				44	44	PY_METHOD_aab1f0b774c67ab143a402cbc51b2076	METHOD	PY_SCOPE_e51110b2cd58bb96c670315c2d556ef8	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	true	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_15271e1040f4fa3af370153cd9f25170
STRING_FORWARD_REF	METHOD_PARAM			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8		0	0	Account	"""Account"""				44	44	PY_METHOD_PARAMETER_b6cd710851e4cbe6ef6d23de8594b9b3	METHOD_PARAM	PY_SCOPE_e51110b2cd58bb96c670315c2d556ef8	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	true	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_e3f853023473c5b0df35615aff26207c
NONE_TYPE	METHOD_RETURN					0	0	None	None				51	51	PY_METHOD_1ae0ac218a7186fa75d48a9fb495d180	METHOD	PY_SCOPE_747a6da8ef04268caaa8e87910f24e40	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_00255a3c2fb7b12f5f0d3af2e0007abf
NAME	VARIABLE_ANNOTATION			PY_TYPE_160aee5ca584e3817b8783b4e148e2a8		0	0	Account	Account				52	52	PY_BINDING_29149bbc7967a341038c838dc3f11ef4	BINDING	PY_SCOPE_747a6da8ef04268caaa8e87910f24e40	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_b160f0db443a48e31bdc32beb4ea7546
NAME	VARIABLE_ANNOTATION			PY_TYPE_65c006b7dc1da8d5b431a90353733207		0	0	Ledger	Ledger				53	53	PY_BINDING_0acff0c5d55a7ad070b34626d95bb244	BINDING	PY_SCOPE_747a6da8ef04268caaa8e87910f24e40	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	false	false	false		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_REFERENCE_7a8a6cf482dfa98c2d34fce968fe43fb
