name	qualifiedName	fileName	typeCategory	typeAccess	typeModifier	typePlacement	filePath	baseMservPath	startLine	endLine	isExternal	pyModuleLinkHash	enclosingTypeLinkHash	enclosingMethodLinkHash	scopeLinkHash	classInitMethodLinkHash	declaringBindingLinkHash	metaclassName	baseCount	hasDynamicBase	mroKind	docstring	serviceVersionLinkHash	pyTypeUniqueHash
Widget	call_site_shapes.Widget	call_site_shapes.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	call_site_shapes.py	/repo	11	52	false	PY_MODULE_4aae2613b4da1ab193c5ea488a873480			PY_SCOPE_418a92849be2784b0f0d2c64d8aec25d	PY_METHOD_ae5bb3fde49a04de6c5e6a6dd543d77e	PY_BINDING_2175f8c20617e78307fe66633c6e6139		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_89132fdbeb8e0dd6e92a9fd413a40f2a
ValidationError	integration_service_layer.ValidationError	integration_service_layer.py	EXCEPTION_CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	integration_service_layer.py	/repo	19	23	false	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e			PY_SCOPE_14270ea36aecefc8ff71733b2ae27407	PY_METHOD_f87a5e03ae209ae0e778e7e095593fcd	PY_BINDING_5efc7d967818e5ff8228430f110ca717		1	false	SINGLE_INHERITANCE		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5
AccountValidator	integration_service_layer.AccountValidator	integration_service_layer.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	integration_service_layer.py	/repo	26	41	false	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e			PY_SCOPE_0c25c7fd07b5354c42f71ff4d7c1e384	PY_METHOD_1e8f6ed75d03a6540fb8046c56e26610	PY_BINDING_3fa8f59d9bb35a930e4e1edccf566443		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_9deedaea90d20e656e8c801aca75c5ee
TransferService	integration_service_layer.TransferService	integration_service_layer.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	integration_service_layer.py	/repo	44	98	false	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e			PY_SCOPE_d340d2d0dceeb5567668aba983c3e9cc	PY_METHOD_e3a5ca982cbef6c812ab1b5d59760aec	PY_BINDING_e87d2580d705cf955365e10270b55b05		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_dff12876742058f9582b3f3848aa5392
Account	pkg.models.Account	models.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	pkg/models.py	/repo	4	20	false	PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4			PY_SCOPE_a37d46567f5ae891133263a4fd94c2b8	PY_METHOD_29cfd01704760a497a4e12818e37e4a0	PY_BINDING_c9e6db907f610509cae2d8e8627f60c9		0	false	IMPLICIT_OBJECT	Target of cross-module resolution from several other fixtures.	SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8
Ledger	pkg.models.Ledger	models.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	pkg/models.py	/repo	23	37	false	PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4			PY_SCOPE_58b4434ddb16dffbfb6aac7cfc23d254	PY_METHOD_867240d2b089adaab826e45f6145dc7a	PY_BINDING_cc3820589f05b86b48574b7c77f9a288		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_65c006b7dc1da8d5b431a90353733207
FileStore	polymorphism_reduction.FileStore	polymorphism_reduction.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	polymorphism_reduction.py	/repo	16	18	false	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3			PY_SCOPE_2e7531077324a570d8c4d04e018a19b4	PY_METHOD_38d185250823eb145c7aecc3d5a7e17c	PY_BINDING_11a005d72176a2a217b5da03f583b517		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_4a78cff9ea347266ea18f2844136becc
DbStore	polymorphism_reduction.DbStore	polymorphism_reduction.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	polymorphism_reduction.py	/repo	21	23	false	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3			PY_SCOPE_17f6347ad02b4da7078df2500ed3d72b	PY_METHOD_62270142da44a0154ba5f961c23a5637	PY_BINDING_f5f82cba027f74684b5580da1433da6b		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_6dca4a3f45f56313692e08e18aacced1
MemoryStore	polymorphism_reduction.MemoryStore	polymorphism_reduction.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	polymorphism_reduction.py	/repo	26	28	false	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3			PY_SCOPE_2c48f0a2b48e1976c8546147afd83f36	PY_METHOD_5f4108f3173fa2478f11946ffd2433d6	PY_BINDING_38a936a5f14a02a7258659c97cca19f6		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_370308d5c9f53659a6b458a2a5ff6cfc
NullStore	polymorphism_reduction.NullStore	polymorphism_reduction.py	CLASS_TYPE	PUBLIC_ACCESS		TOP_LEVEL_PLACEMENT	polymorphism_reduction.py	/repo	31	33	false	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3			PY_SCOPE_61045856ab87c9810cb6c37ee556b0c2	PY_METHOD_1b3e791ae959ece0cb4e17dd869e7884	PY_BINDING_caab56c2a85a4867c332fed1b5f702ee		0	false	IMPLICIT_OBJECT		SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_b48a89d9a21e6f57306bbc7868e8dca5
